StartController,controller starts
ControllerExecution,Begin#AddNewDataToBuffer$1370902005.137363$61$7$55#ReleaseBuffer$1370902005.137377$61$7$55#StartRunGo$1370902005.139996$61$7#DoneRunGo$1370902005.140112$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902008.092275$61$6$56#ReleaseBuffer$1370902008.092295$61$6$56#StartRunGo$1370902008.093574$61$6#DoneRunGo$1370902008.094214$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902011.111964$61$6$57#ReleaseBuffer$1370902011.111976$61$6$57#StartRunGo$1370902011.112362$61$6#DoneRunGo$1370902011.112450$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902011.156141$61$7$57#ReleaseBuffer$1370902011.156160$61$7$57#StartRunGo$1370902011.166762$61$7#DoneRunGo$1370902011.167487$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902014.088654$61$6$58#ReleaseBuffer$1370902014.088673$61$6$58#StartRunGo$1370902014.090705$61$6#DoneRunGo$1370902014.090813$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902014.128669$61$7$58#ReleaseBuffer$1370902014.128686$61$7$58#StartRunGo$1370902014.129369$61$7#DoneRunGo$1370902014.130059$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902017.108404$61$6$59#ReleaseBuffer$1370902017.108421$61$6$59#StartRunGo$1370902017.111400$61$6#DoneRunGo$1370902017.111884$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902017.155654$61$7$59#ReleaseBuffer$1370902017.155674$61$7$59#StartRunGo$1370902017.157235$61$7#DoneRunGo$1370902017.159716$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902020.100149$61$6$60#ReleaseBuffer$1370902020.100167$61$6$60#StartRunGo$1370902020.100970$61$6#DoneRunGo$1370902020.101065$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902020.138519$61$7$60#ReleaseBuffer$1370902020.138531$61$7$60#StartRunGo$1370902020.138661$61$7#DoneRunGo$1370902020.139809$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902023.102720$61$6$61#ReleaseBuffer$1370902023.102738$61$6$61#StartRunGo$1370902023.103193$61$6#DoneRunGo$1370902023.103288$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902023.141188$61$7$61#ReleaseBuffer$1370902023.141206$61$7$61#StartRunGo$1370902023.142829$61$7#DoneRunGo$1370902023.143515$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902026.123660$61$6$62#ReleaseBuffer$1370902026.123678$61$6$62#StartRunGo$1370902026.131279$61$6#DoneRunGo$1370902026.131400$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902026.175641$61$7$62#ReleaseBuffer$1370902026.175663$61$7$62#StartRunGo$1370902026.180112$61$7#DoneRunGo$1370902026.182414$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902029.093870$61$6$63#ReleaseBuffer$1370902029.093881$61$6$63#StartRunGo$1370902029.094044$61$6#DoneRunGo$1370902029.094137$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902029.138038$61$7$63#ReleaseBuffer$1370902029.138062$61$7$63#StartRunGo$1370902029.138879$61$7#DoneRunGo$1370902029.140001$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902032.095947$61$6$64#ReleaseBuffer$1370902032.095971$61$6$64#StartRunGo$1370902032.105031$61$6#DoneRunGo$1370902032.105163$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902032.146233$61$7$64#ReleaseBuffer$1370902032.146248$61$7$64#StartRunGo$1370902032.161815$61$7#DoneRunGo$1370902032.162534$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902035.093562$61$6$65#ReleaseBuffer$1370902035.093574$61$6$65#StartRunGo$1370902035.093717$61$6#DoneRunGo$1370902035.093792$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902035.133676$61$7$65#ReleaseBuffer$1370902035.133689$61$7$65#StartRunGo$1370902035.133844$61$7#DoneRunGo$1370902035.135029$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902038.101620$61$6$66#ReleaseBuffer$1370902038.101649$61$6$66#StartRunGo$1370902038.105463$61$6#DoneRunGo$1370902038.105730$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902038.152378$61$7$66#ReleaseBuffer$1370902038.152396$61$7$66#StartRunGo$1370902038.157718$61$7#DoneRunGo$1370902038.159264$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902041.105718$61$6$67#ReleaseBuffer$1370902041.105739$61$6$67#StartRunGo$1370902041.113599$61$6#DoneRunGo$1370902041.113704$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902041.147300$61$7$67#ReleaseBuffer$1370902041.147315$61$7$67#StartRunGo$1370902041.152749$61$7#DoneRunGo$1370902041.168221$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902044.099711$61$6$68#ReleaseBuffer$1370902044.099737$61$6$68#StartRunGo$1370902044.103273$61$6#DoneRunGo$1370902044.103387$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902044.135650$61$7$68#ReleaseBuffer$1370902044.135668$61$7$68#StartRunGo$1370902044.143861$61$7#DoneRunGo$1370902044.146234$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902047.099629$61$6$69#ReleaseBuffer$1370902047.099651$61$6$69#StartRunGo$1370902047.106082$61$6#DoneRunGo$1370902047.106189$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902047.148305$61$7$69#ReleaseBuffer$1370902047.148321$61$7$69#StartRunGo$1370902047.157150$61$7#DoneRunGo$1370902047.157805$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902050.098339$61$6$70#ReleaseBuffer$1370902050.098365$61$6$70#StartRunGo$1370902050.106320$61$6#DoneRunGo$1370902050.106407$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902050.156931$61$7$70#ReleaseBuffer$1370902050.156951$61$7$70#StartRunGo$1370902050.158066$61$7#DoneRunGo$1370902050.161813$61$7
ControllerExecution,Begin#AddNewDataToBuffer$1370902053.093717$61$6$71#ReleaseBuffer$1370902053.093737$61$6$71#StartRunGo$1370902053.094557$61$6#DoneRunGo$1370902053.094661$61$6
ControllerExecution,Begin#AddNewDataToBuffer$1370902053.141508$61$7$71#ReleaseBuffer$1370902053.141527$61$7$71#StartRunGo$1370902053.142271$61$7#DoneRunGo$1370902053.145560$61$7
