   DEBUG,05/24/2013 14:34:59.455,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406098.456433#DoneOneRoundConnMeasure$1369406098.625647
   DEBUG,05/24/2013 14:34:59.688,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406099.456511#DoneFindSk$1369406099.464059$1001#DoneWeb10GMeasure$1369406099.644861$1001#DoneOneRoundConnMeasure$1369406099.688159
   DEBUG,05/24/2013 14:35:00.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406099.456012#ScheduleDone$1369406099.456249#DoneFindSk$1369406099.464075$1001#DoneWeb10GMeasure$1369406099.644886$1001#StartRunGoOfJobFlow$1369406099.688106$61$2
   DEBUG,05/24/2013 14:35:00.455,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406099.456023#DoneOneRoundConnMeasure$1369406099.688167
   DEBUG,05/24/2013 14:35:00.708,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406100.456329#DoneFindSk$1369406100.468194$1001#DoneWeb10GMeasure$1369406100.682597$1001#DoneOneRoundConnMeasure$1369406100.708907
   DEBUG,05/24/2013 14:35:01.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406100.455912#ScheduleDone$1369406100.456118#DoneFindSk$1369406100.468209$1001#DoneWeb10GMeasure$1369406100.682628$1001#StartRunGoOfJobFlow$1369406100.708859$61$2
   DEBUG,05/24/2013 14:35:01.455,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406100.455922#DoneOneRoundConnMeasure$1369406100.708917
   DEBUG,05/24/2013 14:35:01.703,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406101.456018#DoneFindSk$1369406101.467051$1001#DoneWeb10GMeasure$1369406101.663194$1001#DoneOneRoundConnMeasure$1369406101.703936
   DEBUG,05/24/2013 14:35:02.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406101.455603#ScheduleDone$1369406101.455847#DoneFindSk$1369406101.467067$1001#DoneWeb10GMeasure$1369406101.663226$1001#StartRunGoOfJobFlow$1369406101.703890$61$2
   DEBUG,05/24/2013 14:35:02.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406101.455613#DoneOneRoundConnMeasure$1369406101.703947
   DEBUG,05/24/2013 14:35:02.672,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406102.456896#DoneFindSk$1369406102.461415$1001#DoneWeb10GMeasure$1369406102.610722$1001#DoneOneRoundConnMeasure$1369406102.671979
   DEBUG,05/24/2013 14:35:03.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406102.456369#ScheduleDone$1369406102.456669#DoneFindSk$1369406102.461466$1001#DoneWeb10GMeasure$1369406102.610748$1001#StartRunGoOfJobFlow$1369406102.672346$61$2
   DEBUG,05/24/2013 14:35:03.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406102.456381#DoneOneRoundConnMeasure$1369406102.671993
   DEBUG,05/24/2013 14:35:03.681,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406103.457050#DoneFindSk$1369406103.461706$1001#DoneWeb10GMeasure$1369406103.628691$1001#DoneOneRoundConnMeasure$1369406103.681522
   DEBUG,05/24/2013 14:35:04.456,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406103.456202#ScheduleDone$1369406103.456793#DoneFindSk$1369406103.461718$1001#DoneWeb10GMeasure$1369406103.628723$1001#StartRunGoOfJobFlow$1369406103.681292$61$2
   DEBUG,05/24/2013 14:35:04.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406103.456212#DoneOneRoundConnMeasure$1369406103.681533
   DEBUG,05/24/2013 14:35:04.644,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406104.458666#DoneFindSk$1369406104.462930$1001#DoneWeb10GMeasure$1369406104.623972$1001#DoneOneRoundConnMeasure$1369406104.644232
   DEBUG,05/24/2013 14:35:05.456,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406104.457687#ScheduleDone$1369406104.458175#DoneFindSk$1369406104.462942$1001#DoneWeb10GMeasure$1369406104.624036$1001#StartRunGoOfJobFlow$1369406104.644189$61$2
   DEBUG,05/24/2013 14:35:05.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406104.457783#DoneOneRoundConnMeasure$1369406104.644240
   DEBUG,05/24/2013 14:35:05.619,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406105.456892#DoneFindSk$1369406105.460853$1001#DoneWeb10GMeasure$1369406105.598670$1001#DoneOneRoundConnMeasure$1369406105.619343
   DEBUG,05/24/2013 14:35:06.600,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406105.456333#ScheduleDone$1369406105.456674#DoneFindSk$1369406105.460864$1001#DoneWeb10GMeasure$1369406105.598697$1001#StartRunGoOfJobFlow$1369406105.619295$61$2
